"level","variable","estimate","standard_error","p_val","p_val_adj"
"fungi_q0","alg_q0",0.183,0.066,0.006,0.056
"fungi_q1","exploratoryHainich",-2.049,0.634,0.002,0.021
"fungi_q1","exploratorySchorfheide",-4,1.404,0.005,0.055
"fungi_q1","rH_200",0.407,0.145,0.006,0.055
"fungi_q1","Ta_200",0.885,0.513,0.087,0.273
"fungi_q1","stand_density_basal_area",-0.035,0.085,0.681,0.846
"fungi_q1","DBH_avg",-0.089,0.086,0.303,0.594
"fungi_q1","d_gini",-0.14,0.09,0.122,0.337
"fungi_q1","canopy_openness_2019",0.225,0.085,0.009,0.063
"fungi_q1","dom_tot_ratio",0.043,0.084,0.613,0.798
"fungi_q1","RA_forest",0.013,0.091,0.889,0.928
"fungi_q1","bac_q1",0.155,0.085,0.07,0.244
"fungi_q1","alg_q1",0.017,0.081,0.833,0.928
"fungi_q2","exploratoryHainich",-2.075,0.66,0.002,0.025
"fungi_q2","exploratorySchorfheide",-3.624,1.463,0.015,0.078
"fungi_q2","rH_200",0.381,0.151,0.013,0.078
"fungi_q2","Ta_200",0.741,0.536,0.169,0.397
"fungi_q2","stand_density_basal_area",-0.08,0.089,0.375,0.664
"fungi_q2","DBH_avg",-0.106,0.09,0.243,0.514
"fungi_q2","d_gini",-0.168,0.092,0.07,0.244
"fungi_q2","canopy_openness_2019",0.242,0.088,0.007,0.057
"fungi_q2","dom_tot_ratio",0.051,0.088,0.564,0.782
"fungi_q2","RA_forest",0.017,0.095,0.858,0.928
"fungi_q2","bac_q2",0.116,0.088,0.19,0.437
"fungi_q2","alg_q2",-0.064,0.086,0.453,0.709
